"lon" "lat" "bottom_depth" "month" "time" "date" "vertical_advection_v"
-175 -55 5211 4 2015-04-15 736069 0.423276759191214
-175 -55 5211 5 2015-05-15 736099 0.766078425654517
-175 -55 5211 6 2015-06-15 736130 -0.27226441940954
-175 -55 5211 7 2015-07-15 736160 0.391234518738621
-175 -55 5211 8 2015-08-15 736191 -2.30462615385588
-175 -55 5211 9 2015-09-15 736222 0.0586516039966862
-175 -55 5211 10 2015-10-15 736252 1.93764522615419
-175 -55 5211 11 2015-11-15 736283 -0.696879342335399
-175 -55 5211 12 2015-12-15 736313 0.0113859756594397
-175 -50 5465 1 2015-01-15 735979 -0.221964960656641
-175 -50 5465 2 2015-02-15 736010 -0.420263268685778
-175 -50 5465 3 2015-03-15 736038 -0.129429794066119
-175 -50 5465 4 2015-04-15 736069 2.25436138567438
-175 -50 5465 5 2015-05-15 736099 1.24393983288395
-175 -50 5465 6 2015-06-15 736130 -1.25967563866262
-175 -50 5465 7 2015-07-15 736160 -1.86769518835214
-175 -50 5465 8 2015-08-15 736191 -0.222651124688049
-175 -50 5465 9 2015-09-15 736222 0.15280886840274
-175 -50 5465 10 2015-10-15 736252 -1.00415042130633
-175 -50 5465 11 2015-11-15 736283 -0.318882415857243
-175 -50 5465 12 2015-12-15 736313 -0.0833355620143339
-175 -45 3447 1 2015-01-15 735979 0.0418268729239624
-175 -45 3447 2 2015-02-15 736010 -1.31153763505664
-175 -45 3447 3 2015-03-15 736038 -0.108521284174938
-175 -45 3447 4 2015-04-15 736069 0.359642403180413
-175 -45 3447 5 2015-05-15 736099 2.21862587574705
-175 -45 3447 6 2015-06-15 736130 -0.641622886687735
-175 -45 3447 7 2015-07-15 736160 -0.212865342340695
-175 -45 3447 8 2015-08-15 736191 0.0279412939598761
-175 -45 3447 9 2015-09-15 736222 -0.245170605174374
-175 -45 3447 10 2015-10-15 736252 -0.500660708453116
-175 -45 3447 11 2015-11-15 736283 -0.0921923290997593
-175 -45 3447 12 2015-12-15 736313 0.0976387482758456
-175 -40 4375 1 2015-01-15 735979 -0.135285246219077
-175 -40 4375 2 2015-02-15 736010 -0.367489962114624
-175 -40 4375 3 2015-03-15 736038 -1.7931673869743
-175 -40 4375 4 2015-04-15 736069 0.58031688012168
-175 -40 4375 5 2015-05-15 736099 7.35271789293997
-175 -40 4375 6 2015-06-15 736130 -0.365588897198401
-175 -40 4375 7 2015-07-15 736160 -0.714449422572876
-175 -40 4375 8 2015-08-15 736191 0.375922038580817
-175 -40 4375 9 2015-09-15 736222 0.587300137784267
-175 -40 4375 10 2015-10-15 736252 -0.631815837311109
-175 -40 4375 11 2015-11-15 736283 0.260230286181734
-175 -40 4375 12 2015-12-15 736313 0.123570414439769
-175 -35 5555 1 2015-01-15 735979 1.02699281194953
-175 -35 5555 2 2015-02-15 736010 -0.119846263038282
-175 -35 5555 3 2015-03-15 736038 -2.17723643617287
-175 -35 5555 4 2015-04-15 736069 0.409345428674708
-175 -35 5555 5 2015-05-15 736099 0.842344374062023
-175 -35 5555 6 2015-06-15 736130 0.146240137242379
-175 -35 5555 7 2015-07-15 736160 -0.611690703293867
-175 -35 5555 8 2015-08-15 736191 0.066449496000292
-175 -35 5555 9 2015-09-15 736222 0.158635683509477
-175 -35 5555 10 2015-10-15 736252 -0.0692957835514733
-175 -35 5555 11 2015-11-15 736283 -0.359826745978601
-175 -35 5555 12 2015-12-15 736313 -0.177136225349042
-175 -30 5448 1 2015-01-15 735979 -1.42919796421983
-175 -30 5448 2 2015-02-15 736010 -0.319241857351837
-175 -30 5448 3 2015-03-15 736038 -1.69375680212213
-175 -30 5448 4 2015-04-15 736069 -0.05817604415944
-175 -30 5448 5 2015-05-15 736099 -1.22878718934842
-175 -30 5448 6 2015-06-15 736130 -0.43893408902188
-175 -30 5448 7 2015-07-15 736160 0.0371849569302638
-175 -30 5448 8 2015-08-15 736191 0.226759469280955
-175 -30 5448 9 2015-09-15 736222 -0.487199700612018
-175 -30 5448 10 2015-10-15 736252 0.139991539199892
-175 -30 5448 11 2015-11-15 736283 -0.139604211066757
-175 -30 5448 12 2015-12-15 736313 0.175546678059577
-175 -25 6779 1 2015-01-15 735979 0.577928155629086
-175 -25 6779 2 2015-02-15 736010 -0.047118006360538
-175 -25 6779 3 2015-03-15 736038 0.0631401918296602
-175 -25 6779 4 2015-04-15 736069 -0.243699189951615
-175 -25 6779 5 2015-05-15 736099 -0.470250017553375
-175 -25 6779 6 2015-06-15 736130 0.0698214163559431
-175 -25 6779 7 2015-07-15 736160 -0.222733669753628
-175 -25 6779 8 2015-08-15 736191 -0.833131928104441
-175 -25 6779 9 2015-09-15 736222 -0.394243750431095
-175 -25 6779 10 2015-10-15 736252 -1.08407527419369
-175 -25 6779 11 2015-11-15 736283 -0.262873484587254
-175 -25 6779 12 2015-12-15 736313 0.216353838748254
-175 -20 1589 1 2015-01-15 735979 -0.147567294629204
-175 -20 1589 2 2015-02-15 736010 -0.337256084147102
-175 -20 1589 3 2015-03-15 736038 0.087278216706787
-175 -20 1589 4 2015-04-15 736069 0.293034437166085
-175 -20 1589 5 2015-05-15 736099 -0.455092928654345
-175 -20 1589 6 2015-06-15 736130 0.337902639765878
