"WMIOD" "tracer" "cycle" "longitude_E" "longitude_median_PS_E" "latitude_N" "latitude_median_PS_E" "season_label" "date" "time" "mean_tracer_concentration_mmol_m3" "mean_tracer_concentration_error_mmol_m3" "tracer_dt_mmol_m2_d1" "tracer_dt_error_mmol_m2_d1" "gas_mmol_m2_d1" "gas_error_mmol_m2_d1" "EP_mmol_m2_d1" "EP_error_mmol_m2_d1" "entrainment_mmol_m2_d1" "entrainment_error_mmol_m2_d1" "vertical_diffusion_mmol_m2_d1" "vertical_diffusion_error_mmol_m2_d1" "vertical_advection_mmol_m2_d1" "vertical_advection_error_mmol_m2_d1" "tracer_background_dt_mmol_m2_d1" "Bio_mmol_m2_d1" "Bio_error_mmol_m2_d1" "latitude_median_PS_N" "integration_depth_m" "MLD_m"
5904395 "DIC" 50 -149.916 -149.8 -38.793 -38.95 "Not applicable" 735970.887407434 2015-01-06 2095.96114983344 12.2191524923192 -19.3934604246874 0.056375977300189 -0.577899027567319 0.232166430705853 0 0 0 0 2.7929230366767 0.53953027631227 0.196816653767731 0.085807755564769 0 -21.8053010875645 0.491942805453083 "Not applicable" 102 12
5904395 "DIC" 51 -150.034 -149.8 -38.844 -38.95 "Not applicable" 735976.135428245 2015-01-12 2095.74263893382 12.2185158828248 -19.4706713640589 0.0793322152269614 -0.412013142042553 0.165523068959967 0 0 0 0 2.52126120052596 0.487927141609053 0.465571074970403 0.19986110203673 0 -22.0454904975127 0.437960598052688 "Not applicable" 103 19
5904395 "DIC" 52 -150.114 -149.8 -38.881 -38.95 "Not applicable" 735981.422071772 2015-01-17 2094.5925761101 12.2172716425642 -17.729155618681 0.0301148489868944 -0.646516053996906 0.259732786335255 0 0 0 0 2.62965553731481 0.520735581924089 0.926634001321317 0.400596205849169 0 -20.6389291033203 0.455414753511238 "Not applicable" 104 29
5904395 "DIC" 53 -150.167 -149.8 -38.904 -38.95 "Not applicable" 735986.701620391 2015-01-22 2093.22438403209 12.2174835192076 -15.1911694187753 0.0862052750430187 -0.954799847408687 0.383583397854991 0 0 0 0 2.87527842144403 0.600764800853398 1.30691804846223 0.565127544756097 0 -18.4185660412729 0.489567192059992 "Not applicable" 105 20
5904395 "DIC" 54 -150.247 -149.8 -38.95 -38.95 "Not applicable" 735992.061365742 2015-01-28 2093.61501677077 12.2174013971656 -17.4405419953996 0.0938007163151205 -1.10237947339388 0.442872362493186 0 0 0 0 3.11890502995953 0.647121078057682 1.30354417132525 0.563788977992658 0 -20.7606117232906 0.527468446473569 "Not applicable" 105 25
5904395 "DIC" 55 -150.352 -149.8 -38.982 -38.95 "Not applicable" 735997.355983807 2015-02-02 2094.88620976965 12.2182006777977 -18.2795586432744 0.0690087863215988 -1.16653312350766 0.468645591471209 0 0 0 0 3.76213894061038 0.749330358210887 1.33355914889709 0.580042876534092 0 -22.2087236092742 0.746575961473723 "Not applicable" 105 46
5904395 "DIC" 56 -150.463 -149.8 -39 -38.95 "Not applicable" 736002.653194464 2015-02-07 2093.33941526979 12.2166790249317 -27.1775435830012 0.229654228203104 -1.09771378402374 0.440997958148872 0 0 0 0 4.39462712251898 0.868712752241676 1.3001388698799 0.569759466075438 0 -31.7745957913764 1.04201494563896 "Not applicable" 105 20
5904395 "DIC" 57 -150.505 -149.8 -39.099 -38.95 "Not applicable" 736008.000706019 2015-02-13 2093.02441684535 12.2153864342577 -34.6792037525366 0.437704517718768 -0.932663985112105 0.374690487684114 0 0 0 0 4.74404119970994 0.951867573608993 1.24178680640123 0.546616600661507 0 -39.7323677735356 1.18199210689549 "Not applicable" 105 24
5904395 "DIC" 58 -150.484 -149.8 -39.173 -38.95 "Not applicable" 736013.2622801 2015-02-18 2093.66413406125 12.2162934771912 -37.9828860675403 0.596345873621898 -0.691149156217681 0.277663787322654 0 0 0 0 5.11127637812662 1.03506965093102 1.28931939183354 0.569258900085977 0 -43.6923326812828 1.33499323944546 "Not applicable" 104 40
5904395 "DIC" 59 -150.367 -149.8 -39.251 -38.95 "Not applicable" 736018.519571775 2015-02-23 2094.05101970308 12.2157274974403 -33.7304829950318 0.522457550316112 -0.801640371649986 0.322052772054561 0 0 0 0 5.18548750113271 1.05107550614831 0.507873073965499 0.226185354967619 0 -38.62220319848 1.16987856154908 "Not applicable" 103 16
